hemi,ROI,t_statistic,p_value,df,mean_younger,mean_older
lh,IOG_faces,-0.24418977971026684,0.8450643582965789,1.0848265397422994,-1.2884140125,-0.6674875527499999
rh,IOG_faces,-0.6708324607940814,0.5201828692540311,8.477336626522035,-2.0733433014,-1.1834494106666666
lh,pFus_faces,0.38380426108412496,0.7084597639167844,10.967451849288656,0.24018696199999995,-0.05624889412500006
rh,pFus_faces,-0.4159682425977519,0.6885215279021613,7.886556469055372,-1.8968523684999998,-1.421549599
lh,mFus_faces,-0.3121346809199606,0.7642478462232591,6.8323328492521735,0.35900271233333325,0.61666971475
rh,mFus_faces,0.7640679215016066,0.4624917183428724,9.989854085857763,-0.32625320666666674,-1.3756741035000002
lh,OTS_bodies,-0.3470947069506638,0.7420904159431922,5.215114975610916,-2.7154595310000005,-1.9468427099999999
rh,OTS_bodies,1.3875617859115938,0.19880406817791502,8.960600125543595,-1.8853492271999999,-5.158259169
lh,CoS_places,-0.08779795331109905,0.9316052418291827,11.071084466073982,3.5157690575,3.659287703875
rh,CoS_places,-0.5757880256816122,0.5855874638895058,6.030732564680674,-0.31284076916666653,0.9274758256250001
lh,LOS_limbs,-0.17917619311296326,0.8608026397964027,11.945035652364933,-3.637801527166667,-3.286973647625
rh,LOS_limbs,0.5803706431038977,0.5723124752594018,12.102718235123731,-3.979969453142857,-5.0804310712500005
lh,ITG_limbs,-0.12823256447386236,0.9032017761240725,4.763287914993956,-3.0964401256,-2.805586298166667
rh,ITG_limbs,-0.8234003655364963,0.42780642419305004,10.977529143021924,-6.4887638486000005,-5.221278647125001
lh,MTG_limbs,0.1694411292202654,0.8700383250696143,7.3189415237149325,2.2382456098,1.6551233215000003
rh,MTG_limbs,-1.157414449407572,0.27066776637625695,11.455007217369975,-5.789885523571429,-2.540249197285714
lh,MOG_places,-2.773728337795189,0.017140972115178246,11.74685724080109,-3.793678173142857,-0.12313053037500006
rh,MOG_places,-1.7617346546855286,0.10547422204660475,11.14962301910774,-4.8089415067142856,-3.105220448375
lh,IPS_places,0.11389926437327877,0.9111704003639798,12.20140493116265,2.259235978142857,2.0967679278749998
rh,IPS_places,0.4058468472516884,0.6928614899910475,10.688053362647963,0.3551039441428571,-0.13769191074999998
