hemi,ROI,t_statistic,p_value,df,mean_younger,mean_older
lh,IOG_faces,1.3709392755784522,0.26371770365521596,3.0083430848049857,6.96412958309588,4.413682878151112
rh,IOG_faces,0.909254026641573,0.3869980783206771,8.968619218491908,4.738269472215658,3.7576268098338463
lh,pFus_faces,1.3278422236933676,0.2073816049330237,12.823894804667225,6.571091782362457,5.25155651914167
rh,pFus_faces,0.7119585253516796,0.5015455413140992,6.416673872390531,4.607287057201857,3.836637420899909
lh,mFus_faces,1.0643813399956683,0.32171306720004944,7.163436255611241,5.786136307813095,4.27038961226744
rh,mFus_faces,-0.7379081992747892,0.47810198014497785,9.665906834322573,2.889785389880718,3.688763845145382
lh,OTS_bodies,0.8669910161892941,0.4243126586126191,5.175351320466603,8.130450119011766,5.9063295967376686
rh,OTS_bodies,-0.9704604791778505,0.3631747494335622,7.225508781054984,5.658881747684947,7.246008577049426
lh,CoS_places,-0.33014165680633106,0.7469922358968708,11.984867220143613,11.89139239759508,12.275418761763634
rh,CoS_places,0.1873506831687311,0.8547118106699686,11.284691585012997,8.814712824049284,8.5130864642197
lh,LOS_limbs,-0.03055632610843572,0.9761561895737223,11.304577520831256,12.365851590761546,12.405425934348404
rh,LOS_limbs,-0.15213848387350457,0.8823356635079944,9.275655856509145,10.290488985062428,10.556668791825615
lh,ITG_limbs,2.4866733150566662,0.03463446869052808,8.991204380299235,12.33706077989228,8.440825578023984
rh,ITG_limbs,0.2685189065639494,0.7941360873030392,9.341454328109155,10.111492774186573,9.781680472681701
lh,MTG_limbs,0.17476621314213314,0.8685747876367147,4.676781271375498,11.245174882186184,10.98051945379488
rh,MTG_limbs,0.222386757673512,0.8277570622428126,11.986268045388814,10.715145499376854,10.248797907467381
lh,MOG_places,1.7733773987240598,0.09983669762241193,12.858236693880361,7.721544707875493,6.212401903514462
rh,MOG_places,1.6627886617545284,0.14223629886251676,6.698030565731925,7.540051016264873,5.816525526265469
lh,IPS_places,1.3623207725001183,0.19650032015674337,12.84915527512209,9.194944770717386,7.6648913752911945
rh,IPS_places,0.16425175857873411,0.8720883185771692,12.850468762053918,8.384379431576685,8.10787197294387
