subject,hemi,ROI,fwhm,fwhm_upper,fwhm_lower,fwhm_central5,fwhm_central10,fwhm_contra,fwhm_ipsi,fwhm_upperContra,fwhm_lowerContra,fwhm_upperIpsi,fwhm_lowerIpsi,CoM_x,CoM_y,centerX,centerY,includedvox,totalvox,proportion20
JW,lh,mOTS_words,20.80393627,0,100,1.169590643,47.60233918,97.77777778,0,0,97.77777778,0,2.222222222,4.01530695,-10.3199091,4.630492323,-8.536946243,190,692,0.277456647
KM25,lh,mOTS_words,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,lh,mOTS_words,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MJH25,lh,mOTS_words,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,lh,mOTS_words,16.94141099,71.22807018,28.77192982,28.77192982,99.47368421,100,0,71.22807018,28.77192982,0,0,3.952767372,2.181753159,5.714756145,1.477000991,61,1053,0.064577398
MW23,lh,mOTS_words,16.5175729,13.17254174,86.82745826,30.24118738,100,100,0,13.17254174,86.82745826,0,0,4.78042984,-2.506532192,5.185058124,-2.554326482,383,580,0.662068966
MZ23,lh,mOTS_words,13.76615464,40.43126685,59.56873315,41.50943396,100,100,0,40.43126685,59.56873315,0,0,5.796379566,-0.118510194,5.038081761,-0.488692684,75,208,0.365384615
NAV22,lh,mOTS_words,30.45820504,79.94550409,20.05449591,35.91280654,87.84741144,68.39237057,0,53.78746594,14.60490463,26.15803815,5.449591281,4.456151009,4.42066288,2.232708338,3.737533955,548,890,0.615730337
NC24,lh,mOTS_words,24.99615404,30.58918483,69.41081517,8.474576271,53.51089588,100,0,30.58918483,69.41081517,0,0,10.05902576,0.135066926,8.758108074,-1.940971249,215,906,0.266004415
SP,lh,mOTS_words,15.52247093,45.56962025,54.43037975,56.32911392,100,100,0,45.56962025,54.43037975,0,0,3.581433058,0.840971649,4.041918014,-0.268528681,305,477,0.660377358
ST25,lh,mOTS_words,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH,lh,mOTS_words,16.99367639,26.27865961,73.72134039,53.43915344,100,97.70723104,0,26.27865961,71.42857143,0,2.292768959,3.409480095,-1.675299406,3.748510499,-1.605805031,276,455,0.608791209
TL24,lh,mOTS_words,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JG24,lh,mOTS_words,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSH28,lh,mOTS_words,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KG22,lh,mOTS_words,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VN26,lh,mOTS_words,15.1769554,77.94759825,22.05240175,0,38.4279476,100,0,77.94759825,22.05240175,0,0,8.589923859,1.753939271,10.33437748,1.73477804,23,67,0.358208955
DRS22,lh,mOTS_words,11.35852146,78.82352941,21.17647059,96.07843137,100,92.54901961,0,71.76470588,20.78431373,7.058823529,0.392156863,1.871484518,0.831301987,2.079555447,1.353962898,20,122,0.163934426
MBA24,lh,mOTS_words,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF,lh,mOTS_words,15.25934439,25.59652928,74.40347072,62.03904555,100,98.04772234,0,25.59652928,72.45119306,0,1.952277657,5.730084896,-4.508691788,3.389382701,-1.485407927,15,92,0.163043478
ENK05/ENK05_190317_19993_time_03_1,lh,CoS_places,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLC06/CLC06_190912_21275_time_04_1,lh,CoS_places,28.76196836,61.25686394,38.74313606,18.97498475,64.30750458,100,0,61.25686394,38.74313606,0,0,10.95557976,2.786352158,7.325488353,1.271503095,99,236,0.419491525
ED07/ED07_190914_21286_time_04_1,lh,CoS_places,30.4411002,73.63834423,26.36165577,22.82135076,67.81045752,95.04357298,0,69.11764706,25.92592593,4.520697168,0.435729847,9.980045319,7.390332699,6.158682129,2.931028987,278,655,0.450381679
ENK05/ENK05_191208_21930_time_04_1,lh,CoS_places,25.24138032,53.39116719,46.60883281,1.261829653,36.90851735,100,0,53.39116719,46.60883281,0,0,14.9553051,2.014158726,10.67830664,0.332384162,73,505,0.144554455
INW06/INW06_191103_21656_time_04_1,lh,CoS_places,24.57631323,47.19195306,52.80804694,2.933780386,43.16848282,100,0,47.19195306,52.80804694,0,0,12.36201191,2.78853178,10.04876495,-0.281813339,300,793,0.379571248
RJ09/RJ09_190914_21289_time_04_1,lh,CoS_places,18.64300682,100,0,0,49.85507246,100,0,100,0,0,0,10.27532673,4.165063858,7.24492392,6.343695687,19,185,0.102702703
AOK07/AOK07_191207_21927_time_04_1,lh,CoS_places,25.80978346,61.10689917,38.89310083,6.444275967,48.06671721,100,0,61.10689917,38.89310083,0,0,13.19645882,2.167229652,9.40714085,1.140261631,445,893,0.498320269
CS11/CS11_190203_19652_time_03_1,lh,CoS_places,23.96748865,54.29071804,45.70928196,0,33.62521891,100,0,54.29071804,45.70928196,0,0,11.69026756,0.555732548,11.0209498,0.411207713,347,490,0.708163265
GEJA09/GEJA09_190921_21343_time_04_1,lh,CoS_places,22.58199613,90,10,3.267326733,48.11881188,100,0,90,10,0,0,11.51863003,11.15499496,8.804329899,3.872722943,46,72,0.638888889
MDT09/MDT09_191006_21450_time_03_1,lh,CoS_places,28.28700254,61.67929293,38.32070707,17.36111111,62.31060606,100,0,61.67929293,38.32070707,0,0,10.55386162,4.527428627,7.61058063,1.310736949,378,635,0.595275591
DAPA10/DAPA10_190112_19476_time_03_1,lh,CoS_places,25.29616537,71.14624506,28.85375494,13.20158103,60.79051383,100,0,71.14624506,28.85375494,0,0,7.723151207,1.366807342,7.932924154,2.134241738,216,226,0.960176991
STM10/STM10_190903_21220_time_03_1,lh,CoS_places,16.70831769,98.54809437,1.451905626,0,6.170598911,100,0,98.54809437,1.451905626,0,0,12.34197521,5.11598587,12.53439474,3.843289009,215,309,0.69579288
DAPA10/DAPA10_191012_21490_time_04_1,lh,CoS_places,23.48107396,65.62786434,34.37213566,0.366636114,38.03849679,100,0,65.62786434,34.37213566,0,0,14.31558132,-0.723306417,10.45045716,1.456717603,90,342,0.263157895
CGSA11/CGSA11_190921_21340_time_04_1,lh,CoS_places,20.98351054,96.91075515,3.089244851,0,32.95194508,100,0,96.91075515,3.089244851,0,0,11.60052013,6.08514595,10.06057001,4.478382356,319,478,0.667364017
OS12/OS12_190725_20947_time_06_1,lh,CoS_places,19.86820135,80.51282051,19.48717949,0,14.61538462,100,0,80.51282051,19.48717949,0,0,13.45927811,1.420511127,12.46816578,2.487811085,212,497,0.426559356
CR24,lh,CoS_places,22.2244907,75.71721311,24.28278689,0,31.8647541,100,0,75.71721311,24.28278689,0,0,13.17780495,2.868024826,10.91839002,2.293831025,50,127,0.401574803
CS22,lh,CoS_places,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,lh,CoS_places,24.30701687,18.23630137,81.76369863,28.08219178,84.50342466,96.31849315,0,18.23630137,78.08219178,0,3.681506849,11.2996664,-2.041301966,5.116974805,-3.186774727,173,778,0.227506427
ES,lh,CoS_places,25.73186792,74.92378049,25.07621951,1.829268293,37.27134146,100,0,74.92378049,25.07621951,0,0,15.03684425,5.845343113,10.32800573,2.584470555,22,722,0.030470914
GB23,lh,CoS_places,14.3356683,100,0,0,0,100,0,100,0,0,0,12.38307381,10.86043358,11.43375527,8.722190362,81,242,0.334710744
JEW23,lh,CoS_places,22.22284401,59.87717503,40.12282497,0,28.14738997,100,0,59.87717503,40.12282497,0,0,14.35202599,1.417350292,11.51560945,0.870760042,126,575,0.219130435
JP23,lh,CoS_places,21.89961771,71.26315789,28.73684211,10.63157895,64.31578947,100,0,71.26315789,28.73684211,0,0,9.472532272,1.368518949,8.028801097,1.862225614,246,386,0.637305699
JW,lh,CoS_places,22.03674662,76.48283039,23.51716961,0,28.5119667,100,0,76.48283039,23.51716961,0,0,11.08609867,3.363034964,11.25397703,2.354451804,99,141,0.70212766
KM25,lh,CoS_places,28.41412509,94.83952171,5.160478288,20.45311517,66.8344871,87.16173694,0,82.00125865,5.160478288,12.83826306,0,9.140760422,3.531289577,4.434953747,5.674303942,225,382,0.589005236
MG,lh,CoS_places,25.41174717,71.49569303,28.50430697,18.79404855,69.77290525,100,0,71.49569303,28.50430697,0,0,6.792023659,3.587328434,6.995833324,2.181554424,261,395,0.663291139
MJH25,lh,CoS_places,24.18655994,94.31524548,5.684754522,0,33.93626184,100,0,94.31524548,5.684754522,0,0,12.42601776,7.892765045,9.910357964,4.766607606,32,419,0.076372315
MN,lh,CoS_places,24.35645651,43.3560477,56.6439523,18.48381601,71.20954003,100,0,43.3560477,56.6439523,0,0,7.037260532,1.437821865,7.312765086,-0.64079575,311,389,0.799485861
MW23,lh,CoS_places,19.87565117,83.86683739,16.13316261,1.408450704,51.98463508,100,0,83.86683739,16.13316261,0,0,9.405619621,1.876545429,9.012064036,2.808644818,632,777,0.813384813
MZ23,lh,CoS_places,24.4966774,99.24242424,0.757575758,6.64983165,51.09427609,100,0,99.24242424,0.757575758,0,0,9.349324226,9.390503883,7.193582943,5.800387459,131,304,0.430921053
NAV22,lh,CoS_places,26.54003261,90.51042416,9.489575845,5.535585909,44.57225018,100,0,90.51042416,9.489575845,0,0,14.65208912,-0.094864726,8.650977198,4.609288987,137,510,0.268627451
NC24,lh,CoS_places,27.91470862,54.65116279,45.34883721,16.98966408,62.27390181,100,0,54.65116279,45.34883721,0,0,7.593445301,1.199548841,7.737335465,0.501129219,274,533,0.515947467
SP,lh,CoS_places,21.85850261,78.49576271,21.50423729,11.12288136,65.5720339,100,0,78.49576271,21.50423729,0,0,6.02558279,2.270626783,7.738998661,2.52515538,525,853,0.617819461
ST25,lh,CoS_places,22.54234455,66.56746032,33.43253968,0,29.86111111,100,0,66.56746032,33.43253968,0,0,10.43321228,2.848287344,11.29391404,1.482391818,438,518,0.845559846
