sub,ROI,hemi,slope,intercept,ecc,size
ENK05/ENK05_190317_19993_time_03_1,IOG_faces_toon_JC,rh,3.27871188008418,-3.45236347935871,4.26353312774534,10.5125940260328
ENK05/ENK05_190317_19993_time_03_1,ITG_limbs_toon_JC,rh,0.346698960803909,9.2950737492788,15.1293041604207,11.5456701956783
ENK05/ENK05_190317_19993_time_03_1,IPSl_places_toon_JC,rh,0.633231976439197,7.09646505054667,9.24714089536912,27.1293737483275
ENK05/ENK05_190317_19993_time_03_1,IPSm_places_toon_JC,rh,0.125969388255064,6.44681410422162,9.09917405199899,7.59411976179874
ENK05/ENK05_190317_19993_time_03_1,ITG_limbs_toon_JC,lh,-0.0396921750822722,21.0371211374793,23.9997305366124,18.8027240536297
ENK05/ENK05_190317_19993_time_03_1,IPSl_places_toon_JC,lh,0.710922013734653,10.4511241068598,13.4483681356393,7.71133591737473
ENK05/ENK05_190317_19993_time_03_1,IPSm_places_toon_JC,lh,0.943485530655183,-4.38950302506474,11.2122472005659,6.15868056851075
ENK05/ENK05_190317_19993_time_03_1,MOG_places_toon_JC,lh,0.516778946557136,4.56888133438916,11.5137345398478,11.0657453072284
CLC06/CLC06_190912_21275_time_04_1,IPSl_places_toon_JC,rh,-0.00196909873722606,10.5016763941249,7.81357815981404,10.6743746986511
CLC06/CLC06_190912_21275_time_04_1,IPSm_places_toon_JC,rh,0.633634558195294,6.84740722228941,13.5716289082491,16.5947470679677
CLC06/CLC06_190912_21275_time_04_1,IPSl_places_toon_JC,lh,-0.90217185947175,13.6917308926744,8.475632384892,5.62199846259968
CLC06/CLC06_190912_21275_time_04_1,IPSm_places_toon_JC,lh,0.370575183167764,3.27768879081631,11.4764507829835,7.79549484154771
CLC06/CLC06_190912_21275_time_04_1,MOG_places_toon_JC,lh,0.406838577273585,2.20148644662043,12.4430385827175,8.05939809115685
ED07/ED07_190914_21286_time_04_1,IOG_faces_toon_JC,rh,0.564840614167916,5.13040163846595,3.23542081497593,7.02234381601397
ED07/ED07_190914_21286_time_04_1,ITG_limbs_toon_JC,rh,0.39526572759044,7.65277065140996,23.1462914421868,15.0278432943948
ED07/ED07_190914_21286_time_04_1,IPSl_places_toon_JC,rh,0.409589599315081,8.76049575828539,21.8854926585695,16.1093863559826
ED07/ED07_190914_21286_time_04_1,ITG_limbs_toon_JC,lh,0.747745461467956,2.98407959650687,20.269302749718,16.7530333090099
ED07/ED07_190914_21286_time_04_1,IPSl_places_toon_JC,lh,0.362635383053679,7.04540758979698,17.5942545101324,13.5853580708962
ED07/ED07_190914_21286_time_04_1,IPSm_places_toon_JC,lh,0.379232672582882,6.9521049760862,19.0069533421691,14.2713459269282
ED07/ED07_190914_21286_time_04_1,MOG_places_toon_JC,lh,0.460064280845166,4.2020303964424,7.42793557438807,7.57485034514665
ENK05/ENK05_191208_21930_time_04_1,IOG_faces_toon_JC,rh,0.543811224485012,6.90906567251309,5.48751147986372,9.41297335135449
ENK05/ENK05_191208_21930_time_04_1,ITG_limbs_toon_JC,rh,0.548057819202721,8.14289971367592,15.5698319226142,11.2203012394719
ENK05/ENK05_191208_21930_time_04_1,IPSl_places_toon_JC,rh,0.441706418467283,7.71513029960186,11.9953717906647,10.9511558398269
ENK05/ENK05_191208_21930_time_04_1,IPSm_places_toon_JC,rh,0.489550646028979,3.68642501737614,12.2106181604977,9.43268688527573
ENK05/ENK05_191208_21930_time_04_1,pSTS_faces_toon_JC,lh,0.661824524564856,7.94989937438908,17.4417401795311,3.7036997087251
ENK05/ENK05_191208_21930_time_04_1,ITG_limbs_toon_JC,lh,0.407217433021271,11.6759618195301,23.4071479676281,16.3994465432701
ENK05/ENK05_191208_21930_time_04_1,IPSl_places_toon_JC,lh,0.430151133907734,5.03219640253554,9.55819674388436,8.82378133802285
ENK05/ENK05_191208_21930_time_04_1,IPSm_places_toon_JC,lh,0.323025616293994,4.11505786753364,11.2234806890044,7.81604468993411
ENK05/ENK05_191208_21930_time_04_1,MOG_places_toon_JC,lh,0.915436539645859,-1.34091760482101,5.65473202033892,3.8871686354991
INW06/INW06_191103_21656_time_04_1,ITG_limbs_toon_JC,rh,0.430372643266396,5.12004787037908,28.2331371163721,16.3602288263464
INW06/INW06_191103_21656_time_04_1,IPSl_places_toon_JC,rh,0.363493717379696,8.66549125866789,11.4225103391226,13.9834883189102
INW06/INW06_191103_21656_time_04_1,ITG_limbs_toon_JC,lh,0.525151457875699,4.2175755064793,11.8615025249579,9.62479650133532
INW06/INW06_191103_21656_time_04_1,IPSl_places_toon_JC,lh,0.486005102349527,9.08878604487523,13.0649718653183,15.9035564481697
INW06/INW06_191103_21656_time_04_1,IPSm_places_toon_JC,lh,-0.0286229081344638,9.97547579082376,7.95746563476371,9.82861204876444
INW06/INW06_191103_21656_time_04_1,MOG_places_toon_JC,lh,0.537561394919774,1.02164834124947,9.28648882688114,5.83592470506803
RJ09/RJ09_190914_21289_time_04_1,IOG_faces_toon_JC,rh,0.999316962575131,5.08368370138804,7.56546145707959,12.566693972942
RJ09/RJ09_190914_21289_time_04_1,pSTS_faces_toon_JC,rh,0.470424380547367,-0.321101672835188,15.640336222271,2.81110580429559
RJ09/RJ09_190914_21289_time_04_1,ITG_limbs_toon_JC,rh,-0.234163548218417,33.1108683896134,27.2244156541452,22.1141585870224
RJ09/RJ09_190914_21289_time_04_1,IPSl_places_toon_JC,rh,0.0532555285137552,17.4505712680449,31.3548482492743,14.717125296765
