sub,ROI,hemi,slope,intercept,ecc,size
ENK05/ENK05_190317_19993_time_03_1,V1_toon,rh,0.119530925027245,0.443264408815404,9.86649521983522,1.48604600727917
ENK05/ENK05_190317_19993_time_03_1,V2_toon,rh,0.219074942216846,1.11812049803332,13.9613664523981,3.93978284864581
ENK05/ENK05_190317_19993_time_03_1,V3_toon,rh,0.275682318018174,1.83179585917084,15.7679838986526,5.96648772880723
ENK05/ENK05_190317_19993_time_03_1,hV4_toon,rh,0.589767610581019,1.0406946760986,6.92607856168858,5.0882341347542
ENK05/ENK05_190317_19993_time_03_1,VO_toon,rh,0.284038554070047,6.97781389907803,18.7051621575391,12.20886526779
ENK05/ENK05_190317_19993_time_03_1,PHC_toon,rh,0.153436866448437,15.895948651922,27.0328958210617,19.1031455510067
ENK05/ENK05_190317_19993_time_03_1,pFus_faces_toon,rh,3.27866525276187,-3.45218005392394,4.24397949672603,10.4482519463856
ENK05/ENK05_190317_19993_time_03_1,pOTS_words_toon,rh,4.01821122247895,-4.74484404049432,3.5507156002838,11.6344507798958
ENK05/ENK05_190317_19993_time_03_1,CoS_places_toon,rh,0.376026886366215,9.13606059362254,13.088042306069,14.8897498887489
ENK05/ENK05_190317_19993_time_03_1,mFus_faces_toon,rh,1.74859786035628,2.31021085460514,5.05737459517574,11.13858794779
ENK05/ENK05_190317_19993_time_03_1,OTS_bodies_toon,rh,0.771824607014959,7.29209200150433,6.99108810465208,11.24860463713
ENK05/ENK05_190317_19993_time_03_1,pFus_kubotaMPM_toon,rh,1.7250306758755,1.30402700976627,5.39735390403321,10.4753778358036
ENK05/ENK05_190317_19993_time_03_1,PPA_kubotaMPM_toon,rh,0.14415097156142,14.9812836882014,22.0158521457092,17.7225931758619
ENK05/ENK05_190317_19993_time_03_1,mFus_kubotaMPM_toon,rh,1.01134146402251,5.68455232410553,6.92840651740851,12.2249375132354
ENK05/ENK05_190317_19993_time_03_1,OTS_kubotaMPM_toon,rh,0.594532855819945,4.66508461200328,10.6010623418,4.68212050680854
ENK05/ENK05_190317_19993_time_03_1,V1_toon,lh,0.189634611391088,-0.213943348245842,12.3677578557262,1.80698079575816
ENK05/ENK05_190317_19993_time_03_1,V2_toon,lh,0.193997998046287,1.05412668835872,16.0347796250106,3.68898583279244
ENK05/ENK05_190317_19993_time_03_1,V3_toon,lh,0.244330327905977,2.00856190251196,15.8568329468426,4.99126549305548
ENK05/ENK05_190317_19993_time_03_1,hV4_toon,lh,0.748955165091864,1.14964010143136,7.41754674285298,6.95851211173789
ENK05/ENK05_190317_19993_time_03_1,VO_toon,lh,0.310762151856333,6.2144474851199,25.1662135987056,12.8979229838259
ENK05/ENK05_190317_19993_time_03_1,PHC_toon,lh,0.0274503488298999,18.6574865057853,31.943970790977,15.2516725225747
ENK05/ENK05_190317_19993_time_03_1,pFus_faces_toon,lh,1.25950685994528,3.20681253487269,6.19547757594821,10.5870661982358
ENK05/ENK05_190317_19993_time_03_1,pOTS_words_toon,lh,0.181808993250798,8.48292324587071,7.00105128266353,10.7916179870071
ENK05/ENK05_190317_19993_time_03_1,CoS_places_toon,lh,0.0397164269793317,18.6135985697788,36.9423858081532,18.8808106450409
ENK05/ENK05_190317_19993_time_03_1,mOTS_words_toon,lh,0.418952185216166,10.208659137951,5.5672775841936,12.9410223856592
ENK05/ENK05_190317_19993_time_03_1,pFus_kubotaMPM_toon,lh,0.598476625483857,8.49625298235503,7.7091970791279,13.0945060086945
ENK05/ENK05_190317_19993_time_03_1,pOTS_kubotaMPM_toon,lh,0.746830207179702,7.55701352790059,8.37546695497488,15.7494766077896
ENK05/ENK05_190317_19993_time_03_1,PPA_kubotaMPM_toon,lh,-0.0681636876791195,22.1866395207415,33.6994259872695,14.7414750189181
ENK05/ENK05_190317_19993_time_03_1,mFus_kubotaMPM_toon,lh,0.502121238052528,15.0404094808633,10.683545529729,31.151572088374
CLC06/CLC06_190912_21275_time_04_1,V1_toon,rh,0.195364798497917,0.561754351466484,13.1564621114409,2.72750306471125
CLC06/CLC06_190912_21275_time_04_1,V2_toon,rh,0.208922514795826,1.98939207340023,13.5185868752852,4.45192583406252
CLC06/CLC06_190912_21275_time_04_1,V3_toon,rh,0.368362554028991,2.57063210728368,12.6519609552478,6.58900236476086
CLC06/CLC06_190912_21275_time_04_1,hV4_toon,rh,0.554368779569282,3.39236793231488,9.27829719112527,8.7921865220703
CLC06/CLC06_190912_21275_time_04_1,VO_toon,rh,0.255641278059697,9.15507084695261,13.7202638969165,13.0297463968031
CLC06/CLC06_190912_21275_time_04_1,PHC_toon,rh,0.457134790946811,9.25825111845701,15.4846182020953,17.0021919017884
CLC06/CLC06_190912_21275_time_04_1,CoS_places_toon,rh,0.362574120198789,9.43061806162893,13.9746502488007,10.2257706338392
CLC06/CLC06_190912_21275_time_04_1,mFus_faces_toon,rh,0.534666383941756,7.35015620979868,3.77370470252199,7.63657813105755
CLC06/CLC06_190912_21275_time_04_1,OTS_bodies_toon,rh,-0.0343138586887372,11.8837315096417,7.71311582181589,8.78047118080688
CLC06/CLC06_190912_21275_time_04_1,pFus_kubotaMPM_toon,rh,0.501447661033639,7.47810292609942,6.40325000037689,10.9945762154221
CLC06/CLC06_190912_21275_time_04_1,PPA_kubotaMPM_toon,rh,0.369282768915316,10.0467485536205,13.8538608075848,10.2741964840127
CLC06/CLC06_190912_21275_time_04_1,mFus_kubotaMPM_toon,rh,-0.00864077695786687,10.5031580007847,5.07588607811574,10.7711103004003
