sub,ROI,hemi,CenterXs,CenterYs,FWHMs,FWHM_radius,size
ED07/ED07_190914_21286_time_04_1,IPSl_places,lh,11.16257186,0.445606202,10.00060832,5.000304159,11.27405
ENK05/ENK05_191208_21930_time_04_1,IPSl_places,lh,7.618412933,0.652596135,11.26710462,5.633552312,9.402192
INW06/INW06_191103_21656_time_04_1,IPSl_places,lh,11.81145783,-1.512440914,10.14296664,5.071483319,15.41282
RJ09/RJ09_190914_21289_time_04_1,IPSl_places,lh,9.458242098,6.177646535,11.11789923,5.558949614,11.5155
AOK07/AOK07_191207_21927_time_04_1,IPSl_places,lh,9.618853608,3.579001205,7.939046233,3.969523117,10.36455
CS11/CS11_190203_19652_time_03_1,IPSl_places,lh,8.554220078,0.578596491,9.277665185,4.638832593,13.63488
GEJA09/GEJA09_190921_21343_time_04_1,IPSl_places,lh,6.974333761,0.963529329,12.88934204,6.44467102,12.84105
DAPA10/DAPA10_190112_19476_time_03_1,IPSl_places,lh,4.226764006,-0.792435611,2.738912867,1.369456433,9.78708
STM10/STM10_190903_21220_time_03_1,IPSl_places,lh,10.63873317,3.793043301,8.848826383,4.424413192,10.67898
DAPA10/DAPA10_191012_21490_time_04_1,IPSl_places,lh,5.750035707,0.970545663,5.715469199,2.857734599,6.984557
CGSA11/CGSA11_190921_21340_time_04_1,IPSl_places,lh,5.427291303,0.704137042,8.17184842,4.08592421,8.195115
OS12/OS12_190725_20947_time_06_1,IPSl_places,lh,7.863177372,0.370195437,8.661069123,4.330534561,10.55053
CR24,IPSl_places,lh,10.26947717,4.829296579,6.214609859,3.107304929,9.843617
CS22,IPSl_places,lh,6.986467992,0.146328953,9.875815297,4.937907649,7.387505
ES,IPSl_places,lh,9.50344978,9.574286506,9.176181527,4.588090764,13.65578
JEW23,IPSl_places,lh,7.719656496,1.295173457,12.86640393,6.433201965,17.86538
JW,IPSl_places,lh,8.728057833,2.879148266,5.899379982,2.949689991,13.07902
KM25,IPSl_places,lh,-1.63203453,1.063169495,5.452395417,2.726197708,5.838294
MG,IPSl_places,lh,7.537060189,-3.703180074,9.785471423,4.892735712,12.2099
MJH25,IPSl_places,lh,6.115218586,1.797495809,10.1880936,5.094046799,8.737244
MN,IPSl_places,lh,5.74718765,2.570711142,8.418878411,4.209439206,7.973126
MW23,IPSl_places,lh,3.372106243,-0.252255643,5.262995073,2.631497537,7.621506
MZ23,IPSl_places,lh,2.793847507,3.057632494,6.533657006,3.266828503,7.554008
NAV22,IPSl_places,lh,4.980938289,6.958675442,10.21945008,5.109725041,15.19698
NC24,IPSl_places,lh,8.481544264,3.941631977,10.86275318,5.431376589,10.11543
SP,IPSl_places,lh,5.947554987,4.838279452,6.984900718,3.492450359,8.607038
ST25,IPSl_places,lh,5.289721239,1.100316842,6.322238486,3.161119243,7.686565
TH,IPSl_places,lh,6.724227166,0.465117498,11.15750449,5.578752245,9.282652
TL24,IPSl_places,lh,12.05617686,4.128557126,22.24938301,11.1246915,11.53506
MSH28,IPSl_places,lh,10.65215114,-0.98276889,6.791795839,3.395897919,11.20546
KG22,IPSl_places,lh,5.421488628,3.648221839,4.642365926,2.321182963,7.980542
VN26,IPSl_places,lh,5.748491957,2.223793594,10.37374685,5.186873426,8.456377
