Session,Hemi,ROI,nrAdultFaces,meanAdultFaces,nrChildFaces,meanChildFaces,nrNoHeadBody,meanNoHeadBody,nrLimbs,meanLimbs,nrCars,meanCars,nrGuitars,meanGuitars,nrCorridors,meanCorridors,nrHouses,meanHouses,nrWords,meanWords,nrNumber,meanNumber,nrFaces,meanFaces,nrBodies,meanBodies,nrObjects,meanObjects,nrPlaces,meanPlaces,nrChars,meanChars
INW06_191006_time_04_1,lh,MTG_limbs_toon_JC_10mm,0,-1.558671465,0,-0.74853571,29,2.822046494,31,2.847231115,0,-0.455967035,2,-0.140976916,0,-1.01263035,0,-1.021522563,0,-0.527447988,0,0.115153784,0,-1.495800572,40,3.84224842,1,-0.437385586,0,-1.377961152,0,-0.291939732
RJ09_190810_time_04_1,lh,MTG_limbs_toon_JC_10mm,2,1.031759935,3,0.177477451,11,1.492973222,13,1.281879679,1,0.259376984,4,0.251518088,0,0.029923679,0,-1.405175233,0,-1.430795273,2,-1.052320201,5,0.750560022,22,1.862525052,5,0.349834747,0,-0.913627155,2,-1.716111538
AOK07_190203_time_03_2,lh,MTG_limbs_toon_JC_10mm,0,0.24728255,12,0.483279184,7,1.229949877,28,1.809949095,0,0.249131951,0,-0.143869529,0,-0.6624599,0,-0.616876907,0,-0.6520047,0,-1.615273375,12,0.511929859,29,2.106079318,1,0.108718588,0,-0.867283157,0,-1.551144882
CS11_181215_time_03_2,lh,MTG_limbs_toon_JC_10mm,0,-1.164603419,0,-0.244931826,3,1.059875684,20,1.47859839,0,-0.174614943,3,0.828767755,0,-0.164210068,0,-0.915478586,0,-1.018406748,7,0.532157,0,-0.880800688,21,1.753376736,2,0.353053961,0,-0.721999174,1,-0.353875054
GEJA09_190921_time_04_1,lh,MTG_limbs_toon_JC_10mm,0,-0.659006118,0,-0.608964364,19,1.565826405,28,1.563472433,0,-0.510509626,0,0.183941053,0,-0.519105947,0,-1.047575181,2,0.193564402,0,0.102035789,0,-0.852772695,33,2.119509156,0,-0.288159951,0,-1.054724931,2,0.204853885
MDT09_191027_time_03_2,lh,MTG_limbs_toon_JC_10mm,2,-0.744690787,0,-0.2150601,6,0.717779011,26,1.77033593,1,0.475841184,4,0.725082592,0,-0.536378109,1,-0.513019277,0,-0.898209,1,-0.57840578,1,-0.607244891,32,1.770558119,4,0.797268202,0,-0.711226905,1,-1.021650138
DAPA10_181201_time_03_2,lh,MTG_limbs_toon_JC_10mm,9,1.32229133,7,0.831454619,20,1.493308558,33,1.697846089,0,-0.950329431,0,-0.485045441,0,-0.811114612,0,-1.276147583,0,-0.583642877,0,-0.674903103,16,1.416945647,34,2.178151321,0,-1.024362832,0,-1.408200211,0,-0.866379471
STM10_190903_time_03_2,lh,MTG_limbs_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAPA10_190921_time_04_1,lh,MTG_limbs_toon_JC_10mm,1,-0.30660273,0,-1.233940801,36,2.183405414,38,2.254904407,0,-1.597039125,0,0.002473651,1,0.12643118,3,-0.085080361,0,-0.571992011,0,-0.310422355,1,-1.112921426,42,3.01217322,0,-1.239322953,4,0.03067583,0,-0.611381248
CGSA11_190910_time_04_1,lh,MTG_limbs_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
