param,ROI,hemi,ROIs_set,stream,nVox_boot,nBoot,KS_original,KS_effect_mean,KS_effect_CI_low,KS_effect_CI_high,KS_boot_std,p_value_KS_bootstrap,p_value_KS_CI_low,p_value_KS_CI_high,p_thresh_stream,sig_stream_corrected
eccen,rh.IOG_faces_toon_JC.mat,rh,toon_JC,ventral,169,10000,0.112488407424242,0.145007692307692,0.0887573964497042,0.21301775147929,0.0311320936791662,0.925157484251575,0.919920664780398,0.930233255319598,0.0038,0
eccen,rh.IPS_places_toon_JC.mat,rh,toon_JC,lateraldorsal,489,10000,0.0656800525210296,0.0869055214723926,0.0408997955010225,0.141104294478528,0.0256155748899325,0.826967303269673,0.819492400092522,0.834318345552206,0.0042,0
eccen,rh.ITG_limbs_toon_JC.mat,rh,toon_JC,lateraldorsal,251,10000,0.0952452815761192,0.12494422310757,0.0677290836653386,0.195219123505976,0.0331386455954917,0.807069293070693,0.799278231287806,0.81474403119711,0.0042,0
eccen,rh.LOS_limbs_toon_JC.mat,rh,toon_JC,lateraldorsal,469,10000,0.0923641050768852,0.110809168443497,0.0618336886993604,0.164179104477612,0.0258190936492894,0.561993800619938,0.552259038146474,0.571705078270513,0.0042,0
eccen,rh.MOG_places_toon_JC.mat,rh,toon_JC,lateraldorsal,571,10000,0.0786585078429768,0.0935987740805604,0.0542907180385289,0.136602451838879,0.0210669716308355,0.669383061693831,0.660131773706389,0.678570183295023,0.0042,0
eccen,rh.MTG_limbs_adultAvg_probMap_toonCat.mat,rh,adultAvg_probMap_toonCat,lateraldorsal,258,10000,0.119182145014054,0.146033720930234,0.0775193798449613,0.22093023255814,0.0367735667639828,0.587291270872913,0.577626595627112,0.596922877987987,0.0042,0
eccen,rh.OTS_bodies_toon.mat,rh,toon,ventral,91,10000,0.132246368444147,0.176339560439561,0.0879120879120879,0.296703296703297,0.0572895605126283,0.907759224077592,0.902011614729514,0.913352372653765,0.0038,0
eccen,rh.mFus_faces_toon.mat,rh,toon,ventral,156,10000,0.0687926932228106,0.116137820512821,0.0576923076923077,0.205128205128205,0.0375031866833923,0.966053394660534,0.962417055146917,0.969513214927397,0.0038,0
eccen,rh.mOTS_words_toon.mat,rh,toon,ventral,50,10000,0.171737918215613,0.235326000000001,0.14,0.36,0.0549699544623186,0.96995300469953,0.966519318159652,0.973208699902144,0.0038,0
eccen,rh.pFus_faces_toon.mat,rh,toon,ventral,224,10000,0.0419730732830162,0.0885781250000001,0.0491071428571428,0.151785714285714,0.0278392035646673,0.990950904909509,0.989003960959653,0.992712008492892,0.0038,0
eccen,rh.pOTS_words_toon.mat,rh,toon,ventral,101,10000,0.111634304262563,0.153489108910891,0.0891089108910891,0.237623762376238,0.0391132405617933,0.977252274772523,0.974241036398123,0.980082771174105,0.0038,0
eccen,rh.pSTS_faces_adultAvg_probMap_toonCat.mat,rh,adultAvg_probMap_toonCat,lateraldorsal,50,10000,0.172474845201238,0.231628000000001,0.12,0.36,0.0606224143672323,0.961953804619538,0.958117975376868,0.965614663352182,0.0042,0
size,lh.CoS_places_toon.mat,lh,toon,ventral,204,10000,0.276710010781654,0.295716176470588,0.21078431372549,0.377450980392157,0.0426731768861895,0.00254974502549745,0.00165874645786925,0.00362865559412846,0.0038,1
size,lh.IOG_faces_toon_JC.mat,lh,toon_JC,ventral,62,10000,0.147110876850162,0.213003225806452,0.0967741935483871,0.354838709677419,0.0666201035293918,0.929257074292571,0.924151627836003,0.934199920333981,0.0038,0
size,lh.IPS_places_toon_JC.mat,lh,toon_JC,lateraldorsal,372,10000,0.208967417183712,0.221786290322581,0.153225806451613,0.287634408602151,0.0338548605512354,0.00274972502749725,0.00182066165464146,0.00386666454437851,0.0042,1
size,lh.ITG_limbs_toon_JC.mat,lh,toon_JC,lateraldorsal,226,10000,0.0224041029003025,0.0847646017699104,0.0442477876106195,0.141592920353982,0.0256459249806362,0.992450754924508,0.990663190541205,0.99405194090513,0.0042,0
size,lh.LOS_limbs_toon_JC.mat,lh,toon_JC,lateraldorsal,351,10000,0.0640145151278153,0.091963247863248,0.056980056980057,0.136752136752137,0.0204242990533411,0.962153784621538,0.958327397643433,0.965805125519696,0.0042,0
