sub,group,age,hemi,ROI,ROItype,category,stream,meanT,catSelectivity
DAPA10_181201_time_03_2,kids,15,lh,ITG_limbs,category,bodies,lateral,6.076603143,Bodies
DAPA10_181201_time_03_2,kids,15,lh,LOS_limbs,category,bodies,lateral,3.28511084,Bodies
DAPA10_181201_time_03_2,kids,15,lh,mFus_faces,category,face,ventral,-0.852123687,Faces
DAPA10_181201_time_03_2,kids,15,lh,MOG_places,category,place,dorsal,5.637547156,Places
DAPA10_181201_time_03_2,kids,15,lh,MTG_limbs,category,bodies,lateral,1.05806787,Bodies
DAPA10_181201_time_03_2,kids,15,lh,OTS_bodies,category,bodies,ventral,2.222316356,Bodies
DAPA10_181201_time_03_2,kids,15,lh,pFus_faces,category,face,ventral,3.541965712,Faces
DAPA10_181201_time_03_2,kids,15,lh,pOTS_words,category,words,ventral,2.136526254,Words
DAPA10_181201_time_03_2,kids,15,lh,pSTS_faces,category,face,lateral,0.91406819,Faces
DAPA10_190921_time_04_1,kids,16,lh,CoS_places,category,place,ventral,3.496143196,Places
DAPA10_190921_time_04_1,kids,16,lh,IPS_places,category,place,dorsal,5.362528007,Places
DAPA10_190921_time_04_1,kids,16,lh,ITG_limbs,category,bodies,lateral,7.204641512,Bodies
DAPA10_190921_time_04_1,kids,16,lh,LOS_limbs,category,bodies,lateral,3.341988925,Bodies
DAPA10_190921_time_04_1,kids,16,lh,mFus_faces,category,face,ventral,-2.366501264,Faces
DAPA10_190921_time_04_1,kids,16,lh,MOG_places,category,place,dorsal,6.194806326,Places
DAPA10_190921_time_04_1,kids,16,lh,MTG_limbs,category,bodies,lateral,2.62986912,Bodies
DAPA10_190921_time_04_1,kids,16,lh,OTS_bodies,category,bodies,ventral,2.881051418,Bodies
DAPA10_190921_time_04_1,kids,16,lh,pFus_faces,category,face,ventral,3.173656966,Faces
DAPA10_190921_time_04_1,kids,16,lh,pOTS_words,category,words,ventral,2.203590675,Words
DAPA10_190921_time_04_1,kids,16,lh,pSTS_faces,category,face,lateral,-1.8117141,Faces
df032518,adults,25,lh,CoS_places,category,place,ventral,2.069151089,Places
df032518,adults,25,lh,IPS_places,category,place,dorsal,3.95945416,Places
df032518,adults,25,lh,ITG_limbs,category,bodies,lateral,3.340503232,Bodies
df032518,adults,25,lh,LOS_limbs,category,bodies,lateral,1.31860696,Bodies
df032518,adults,25,lh,mFus_faces,category,face,ventral,3.495555619,Faces
df032518,adults,25,lh,MOG_places,category,place,dorsal,5.125728424,Places
df032518,adults,25,lh,mOTS_words,category,words,ventral,1.743336348,Words
df032518,adults,25,lh,MTG_limbs,category,bodies,lateral,2.67006785,Bodies
df032518,adults,25,lh,OTS_bodies,category,bodies,ventral,1.087027754,Bodies
df032518,adults,25,lh,pFus_faces,category,face,ventral,1.772933135,Faces
df032518,adults,25,lh,pOTS_words,category,words,ventral,2.588481643,Words
df032518,adults,25,lh,pSTS_faces,category,face,lateral,-1.5290387,Faces
DRS22,adults,22,lh,CoS_places,category,place,ventral,2.292649634,Places
DRS22,adults,22,lh,IPS_places,category,place,dorsal,3.963054961,Places
DRS22,adults,22,lh,ITG_limbs,category,bodies,lateral,1.574307621,Bodies
DRS22,adults,22,lh,LOS_limbs,category,bodies,lateral,5.384632235,Bodies
DRS22,adults,22,lh,mFus_faces,category,face,ventral,0.600192949,Faces
DRS22,adults,22,lh,MOG_places,category,place,dorsal,5.759499943,Places
DRS22,adults,22,lh,mOTS_words,category,words,ventral,2.05865362,Words
DRS22,adults,22,lh,MTG_limbs,category,bodies,lateral,1.26014694,Bodies
DRS22,adults,22,lh,OTS_bodies,category,bodies,ventral,2.259009636,Bodies
DRS22,adults,22,lh,pFus_faces,category,face,ventral,1.910258378,Faces
DRS22,adults,22,lh,pOTS_words,category,words,ventral,2.793335667,Words
DRS22,adults,22,lh,pSTS_faces,category,face,lateral,0.81252698,Faces
ED07_190824_time_04_2,kids,11,lh,CoS_places,category,place,ventral,2.713828466,Places
ED07_190824_time_04_2,kids,11,lh,IOG_faces,category,face,ventral,-1.014802964,Faces
ED07_190824_time_04_2,kids,11,lh,IPS_places,category,place,dorsal,3.488947662,Places
ED07_190824_time_04_2,kids,11,lh,ITG_limbs,category,bodies,lateral,3.189205332,Bodies
ED07_190824_time_04_2,kids,11,lh,LOS_limbs,category,bodies,lateral,2.407958418,Bodies
ED07_190824_time_04_2,kids,11,lh,mFus_faces,category,face,ventral,0.98373836,Faces
ED07_190824_time_04_2,kids,11,lh,MOG_places,category,place,dorsal,3.713635199,Places
ED07_190824_time_04_2,kids,11,lh,MTG_limbs,category,bodies,lateral,-0.1324673,Bodies
ED07_190824_time_04_2,kids,11,lh,OTS_bodies,category,bodies,ventral,2.711526837,Bodies
ED07_190824_time_04_2,kids,11,lh,pFus_faces,category,face,ventral,3.103174926,Faces
ED07_190824_time_04_2,kids,11,lh,pOTS_words,category,words,ventral,0.982096836,Words
ED07_190824_time_04_2,kids,11,lh,pSTS_faces,category,face,lateral,-0.5291206,Faces
em_050317,adults,22,lh,CoS_places,category,place,ventral,2.897228397,Places
em_050317,adults,22,lh,IPS_places,category,place,dorsal,2.593032594,Places
em_050317,adults,22,lh,ITG_limbs,category,bodies,lateral,7.307370977,Bodies
em_050317,adults,22,lh,LOS_limbs,category,bodies,lateral,3.944802852,Bodies
em_050317,adults,22,lh,mFus_faces,category,face,ventral,-0.124046463,Faces
em_050317,adults,22,lh,MOG_places,category,place,dorsal,-0.286093428,Places
em_050317,adults,22,lh,MTG_limbs,category,bodies,lateral,1.02878643,Bodies
em_050317,adults,22,lh,OTS_bodies,category,bodies,ventral,2.027160917,Bodies
em_050317,adults,22,lh,pFus_faces,category,face,ventral,1.688766402,Faces
em_050317,adults,22,lh,pOTS_words,category,words,ventral,-0.341485505,Words
em_050317,adults,22,lh,pSTS_faces,category,face,lateral,-1.5841697,Faces
